44,Aldemarie Church,St. Mary Aldermary,STMA29,Agas Map,"Aldemarie Church | Aldemary church | Aldermanbury church | Aldmary church | church of Aldmary | church of S. Mary at Oſney | pariſh Church of Aldermary | S. Mary Aldmary | St. Mary Aldermanbury Church | St. Mary Aldermary | St. Mary Aldermary Church | St. Mary, Aldermary",Churches
46,Aldergate,Aldersgate,ALDE3,Agas Map,Aldergate | Alderſgate | Aldersgate | Aldreſgate | gate,Gates
48,Alderman burie ſtreete,Aldermanbury,ALDE1,Agas Map,Alderman burie ſtreete | Alderman bury | Alderman-bury | Aldermanberry | Aldermanburie ſtreete | Aldermanbury | aldermanbury | Aldermanbury of London | Aldermanbury ſtreet | Aldermanbury ſtreete | Aldermans bery | Alderſmãbury,Streets
52,Aldermanbery court,Alderman Bury,ALDR2, ,Aldermanbery court | Aldermans bury | Guild hal,Sites
55,Aldermanbury,Aldersgate Street,ALDE4,Agas Map,Aldermanbury | Alderſgate | Aldersgate Street | Alderſgate Street | Alderſgate ſtreet | Alderſgate ſtreete | Alderſgate ſtréet | Alderſgate ſtréete | Alderſgateſteete | alderſgateſtreet | Alderſgateſtreet | Aldeſtreete,Streets
58,Aldermanbury conduit,Aldermanbury Conduit,ALDE5,Agas Map,Aldermanbury conduit | Conduit in Aldermanbery | Conduit in Aldermanburie | Conduit in Aldermanbury | Conduite at Aldermanbury | Conduite in Aldermanbury ſtréete | Conduits,Water Features
93,Aldgate Bars,Aldgate Bars,ALDG3,Agas Map,Aldgate Bars | Barres | barres without Aldegate | bars,Bars
109,Alhallowes,All Hallows (Bread Street),ALLH3,Agas Map,"Alhallowes | All Hallows Church | All Hallows Watling Street | All Hallows, Bread Street | All Hallows’ Church, Bread/Watling Streets | church of Alhallowes in Bred ſtreet | church of Alhallowes in Bredſtreet | Church of All Hallows Bread Street | Lafullecherche",Churches
110,Alhallowes,All Hallows (Lombard Street),ALLH4,Agas Map,"Alhallowes | Alhallowes in Lombardeſtréete | All Hallows Church | All Hallows Gracechurch | All Hallows, Cornhill | All Hallows, Lombard Street | All Hallows’ Church, Lombard Street | church of Alhallowes in Lombard | Church of All Hallows Gracechurch",Churches
111,Alhallowes ad foenum,All Hallows the Less,ALLH7,Agas Map,"Alhallowes ad foenum | Alhallowes on the ſellers | Alhallowes pariſh the leſſe | Alhallowes the leſſe | All Hallows near the Ropery | All Hallows the Less | All Hallows upon the Cellar | Alſaints ad foenum | church of Alhallowes the leſſe | church of Alhallows | Church of All Hallows the Less | churchyard, of All ſaynts | leſſe | Pariſh of Alhallowes the leſſe | pariſh of All ſaints, the little",Churches
112,Alhallowes at barkynge,All Hallows Barking (Parish),ALLH102, ,Alhallowes at barkynge | Alhallowes Barking | All Hallows Barking parish,Parishes
114,Alhallowes Barking,All Hallows Barking,ALLH2,Agas Map,Alhallowes Barking | All Hallows Barking | All Hallow’s Barking | Barking Alley | Barking chappell of our Ladie | Barking Church | Barking church | Barkingchurch | Barkyng | Church of Alhallowes Barking | Church of All Hallows Barking | College of Priests | kings Chappell of Barking | Pariſh of Alhallowes Barking | pariſh of Barking Church | St. Mary Barking Church | St. Mary Barkingchurch,Churches
115,Alhallowes Bredſtreet,All Hallows (Bread Street) (Parish),ALLH103, ,"Alhallowes Bredſtreet | Alhallowes in brede stret | All Hallows, Bread Street parish",Parishes
117,Alhallowes by the wall,All Hallows (London Wall) (Parish),ALLH101, ,"Alhallowes by the wall | All Hallows, London Wall parish | Allhallowes the wall",Parishes
121,Alhallowes Hay wharfe,All Hallows the Great,ALLH6,Agas Map,Alhallowes Hay wharfe | Alhallowes the greate | Alhallowes the more | Alhallows church | All Hallows at the Hay | All Hallows in the Ropery | All Hallows le grant | All Hallows Seaman’s Church | All Hallows the Great | All Hallows the More in Thames Street | All-hallowes | church of Alhallowes the more,Churches
123,Alhallowes in Hony lane,All Hallows (Honey Lane),ALLH8, ,"Alhallowes in Hony lane | All Hallows, Honey Lane | church of Alhallowes Hony lane",Churches
124,Alhallowes in honye Lane,All Hallows (Honey Lane) (Parish),ALLH108, ,"Alhallowes in honye Lane | All Hallows, Honey Lane parish | Allhallowes Hony-Lane",Parishes
126,Alhallowes in Lvmbart strete,All Hallows (Lombard Street) (Parish),ALLH104, ,"Alhallowes in Lvmbart strete | All Hallows, Lombard Street parish | Allhallowes Lombarſtreet",Parishes
131,Alhallowes stanynges,All Hallows Staining (Parish),ALLH105, ,Alhallowes stanynges | Alhallowes ſtaynings | All Hallows Staining parish,Parishes
133,Alhallowes the Great,All Hallows the Great (Parish),ALLH106, ,Alhallowes the Great | Alhallowes the more | All Hallows the Great parish,Parishes
135,Alhallowes the Leſſe,All Hallows the Less (Parish),ALLH107, ,Alhallowes the Leſſe | All Hallows the Less parish | Allhallowes the Lesse,Parishes
140,Alhallows Stane church,All Hallows Staining,ALLH5,Agas Map,Alhallows Stane church | Alhalowes Staning | All Hallows Staining | church of Alhallowes | church of Alhallowes Stane church | Church of All Hallows Staining | Stainingchurch | Stane church,Churches
151,All Hallows Coleman Church,St. Katherine Coleman,STKA1,Agas Map,All Hallows Coleman Church | All Saintes | Church of S. Katheren | Coleman | Coleman Church | Coleman haw | Pariſh church of S. Katherin Coleman | Pariſh of S. Katherine | S. Katerin colmans | S. Katheren Colman church | S. Katheren Colman Churth | S. Katherine Colman | Saint Katherines | St. Katharine Coleman | St. Katherine | St. Katherine and All Saints | St. Katherine Coleman | St. Katherine Coleman Street,Churches
152,All Hallows Fenchurch,St. Gabriel Fenchurch,STGA1,Agas Map,All Hallows Fenchurch | church of S. Mary & S. Gabriel | Church of St. Mary Fenchurch | Fan church | Fenchurch | S. Gabriel Fen church | S. Gabriel Fenchurch | S. Gabriell Fenchurch | St. Gabriel Fenchurch | St. Mary Fenchurch,Churches
155,All Hallows Lane,Church Lane (All Hallows),CHUR9,Agas Map,All Hallows Lane | church lane | Church lane | Church Lane | Haywharf Lane,Streets
170,"All Hallows, Bread Street",All Hallows (Bread Street),ALLH3,Agas Map,"Alhallowes | All Hallows Church | All Hallows Watling Street | All Hallows, Bread Street | All Hallows’ Church, Bread/Watling Streets | church of Alhallowes in Bred ſtreet | church of Alhallowes in Bredſtreet | Church of All Hallows Bread Street | Lafullecherche",Churches
171,"All Hallows, Bread Street parish",All Hallows (Bread Street) (Parish),ALLH103, ,"Alhallowes Bredſtreet | Alhallowes in brede stret | All Hallows, Bread Street parish",Parishes
172,"All Hallows, Cornhill",All Hallows (Lombard Street),ALLH4,Agas Map,"Alhallowes | Alhallowes in Lombardeſtréete | All Hallows Church | All Hallows Gracechurch | All Hallows, Cornhill | All Hallows, Lombard Street | All Hallows’ Church, Lombard Street | church of Alhallowes in Lombard | Church of All Hallows Gracechurch",Churches
173,"All Hallows, Honey Lane",All Hallows (Honey Lane),ALLH8, ,"Alhallowes in Hony lane | All Hallows, Honey Lane | church of Alhallowes Hony lane",Churches
174,"All Hallows, Honey Lane parish",All Hallows (Honey Lane) (Parish),ALLH108, ,"Alhallowes in honye Lane | All Hallows, Honey Lane parish | Allhallowes Hony-Lane",Parishes
176,"All Hallows, Lombard Street parish",All Hallows (Lombard Street) (Parish),ALLH104, ,"Alhallowes in Lvmbart strete | All Hallows, Lombard Street parish | Allhallowes Lombarſtreet",Parishes
177,"All Hallows, London Wall",All Hallows (London Wall),ALLH1,Agas Map,"Al Saintes | Alhallowes | Alhallowes by the Wall | Alhallowes Church | Alhallowes church | Alhallowes churchyard | Alhallowes in the wall | Alhallowes in the Wall | All Hallows | All Hallows at the Wall | All Hallows at Wall | All Hallows by the Wall | All Hallows near London Wall | All Hallows under the Wall | All Hallows, London Wall | All Haloues in y Wall | All-ſaintes in the wall | Church of Alhallowes | church of Alhallowes in the wall | pariſh of Alhallowes",Churches
178,"All Hallows, London Wall parish",All Hallows (London Wall) (Parish),ALLH101, ,"Alhallowes by the wall | All Hallows, London Wall parish | Allhallowes the wall",Parishes
186,Alley,Castle Alley,CAST12,Agas Map,Alley | alley | Castle Alley | Castle Tavern,Streets
192,Almes houſes in Beech lane,Draper’s Almshouses,DRAP1,Agas Map,Almes houſes in Beech lane | Golding Lane Almes houſes,Sites
193,Almes houſes of the Vintners,Vintners’ Hall,VINT1,Agas Map,Almes houſes of the Vintners | Uintners hall | Vintners hall | Vintrie Warde,Halls
194,Almshouses (by St. Martin Outwich),Merchant Taylors’ Almshouses,MERC7, ,Almshouses (by St. Martin Outwich) | Marchant Taylors almes houſes,Sites
195,Alphage at Cripplegate,St. Alphage (London Wall) (Parish),STAL103, ,"Alphage at Cripplegate | Alphegis at cryplegate | St. Alphage, London Wall parish",Parishes
